Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,y
168001109,0,13,0,118,0,0,0.0,0.0,16,6,9.07692307692308,4.80384461415262,0.702376315861105,0.077380441577918,14000092.4166667,7519757.24455601,21001013,1673487,0,0.0,0.0,0,0,168001109,14000092.4166667,7519757.24455601,21001013,1673487,0,1,0,0,0,416,0.0,0.077380441577918,6,16,8.85714285714286,4.688072309384951,21.978021978022,0,0,0,1,1,0,0,0,0,9.538461538461537,0.0,9.07692307692308,0,0,0,0,0,0,0,0,13,118,-1,260,0,0,3224187.33333333,1501881.35094698,4671954,1673487,17592060.777777802,4373534.36225922,21001013,9672643,6
20977626,2,5,22,39,16,6,11.0,7.07106781186548,15,6,7.8,4.02492235949962,2.90786002191096,0.3336888549733889,3496271.0,5060004.70233714,10011849,678,10013703,10013703.0,0.0,10013703,10013703,20977626,5244406.5,5521962.65424185,10015487,678,0,1,0,0,64,160,0.0953396728495399,0.2383491821238489,6,16,8.375,4.405759217855,19.4107142857143,0,0,0,1,1,0,0,0,2,9.571428571428571,11.0,7.8,0,0,0,0,0,0,2,22,5,39,-1,260,2,0,1512.5,1180.16121780035,2347,678,10011602.5,348.603643124968,10011849,10011356,5
24986206,2,6,22,55,16,6,11.0,7.07106781186548,16,6,9.16666666666667,4.91596040125088,3.0817003589900804,0.320176660674294,3569458.0,4677178.52259422,10014744,455,10025826,10025826.0,0.0,10025826,10025826,24986206,4997241.2,4894310.87253366,10026072,2393,0,1,0,0,64,192,0.080044165168574,0.24013249550572,6,16,9.22222222222223,4.84194634877798,23.4444444444444,0,0,0,1,1,0,0,0,3,10.375,11.0,9.16666666666667,0,0,0,0,0,0,2,22,6,55,-1,260,2,0,2219941.0,3123450.45863353,4428554,11328,10014621.0,173.948268171891,10014744,10014498,5
159629467,17,19,112,208,16,6,6.588235294117651,2.42535625036333,32,6,10.947368421052596,6.9639842061417605,2.00464241354637,0.225522271523966,4560841.91428571,6425299.37963579,20904756,405,159004497,9937781.0625,7412113.78183033,21014266,1001834,159629467,8868303.72222222,7279534.64038439,20904756,200108,0,1,0,0,340,380,0.106496628219651,0.119025643304315,6,32,9.08108108108108,5.741556014310532,32.9654654654655,0,0,0,1,1,0,0,0,1,9.33333333333333,6.588235294117651,10.947368421052596,0,0,0,0,0,0,17,112,19,208,-1,252,17,0,1697583.5,1739193.59158451,4095079,432,11604454.8333333,6515660.8842844,20904756,5995156,11
20990290,2,6,22,60,16,6,11.0,7.07106781186548,20,6,10.0,6.32455532033676,3.90656822749948,0.381128607560925,2998612.85714286,4819350.62168744,10063361,472,10014481,10014481.0,0.0,10014481,10014481,20990290,4198058.0,5344537.64644324,10066677,883,0,1,0,0,64,192,0.095282151890231,0.285846455670693,6,20,9.77777777777778,5.783117190965822,33.4444444444444,0,0,0,1,1,0,0,0,3,11.0,11.0,10.0,0,0,0,0,0,0,2,22,6,60,-1,260,2,0,2753.0,2644.57936163769,4623,883,10036609.5,37832.33411382391,10063361,10009858,0
24001109,2,6,22,55,16,6,11.0,7.07106781186548,16,6,9.16666666666667,4.91596040125088,3.2081850884473697,0.3333179312672589,3428729.85714286,4710363.09555861,10032977,297,10011031,10011031.0,0.0,10011031,10011031,24001109,4800221.8,5005829.74347512,10033953,1434,0,1,0,0,64,192,0.083329482816815,0.249988448450444,6,16,9.22222222222223,4.84194634877798,23.4444444444444,0,0,0,1,1,0,0,0,3,10.375,11.0,9.16666666666667,0,0,0,0,0,0,2,22,6,55,-1,260,2,0,1907526.0,2696268.86734242,3814076,976,10021516.0,16208.301638358,10032977,10010055,5
23990791,2,6,22,58,16,6,11.0,7.07106781186548,18,6,9.66666666666667,5.71547606649408,3.3346128520731098,0.333461285207311,3427255.85714286,4716250.23506332,10033828,439,10009196,10009196.0,0.0,10009196,10009196,23990791,4798158.2,5015073.79576534,10035124,526,0,1,0,0,64,192,0.083365321301828,0.2500959639054839,6,18,9.55555555555556,5.36449231314369,28.7777777777778,0,0,0,1,1,0,0,0,3,10.75,11.0,9.66666666666667,0,0,0,0,0,0,2,22,6,58,-1,260,2,0,1926779.0,2723044.17271883,3852262,1296,10020864.0,18333.8646226048,10033828,10007900,8
30995957,1,6,16,55,16,16,16.0,0.0,16,6,9.16666666666667,4.91596040125088,2.29062132200016,0.225835904985931,5165992.83333333,4557959.38509032,10011613,1448,0,0.0,0.0,0,0,30995957,6199191.4,4239073.72155319,10013061,1673,0,1,0,0,32,192,0.032262272140847,0.193573632845084,6,16,9.625,5.012484413940861,25.125,0,0,0,1,1,0,0,0,6,11.0,16.0,9.16666666666667,0,0,0,0,0,0,1,16,6,55,-1,260,1,0,2087466.0,2949756.74890287,4173259,1673,8940341.66666667,1844819.94235354,10011613,6810139,2
179610551,16,16,96,136,6,6,6.0,0.0,16,6,8.5,4.47213595499958,1.29168358266436,0.178163252781291,5793888.74193549,8233652.76190315,20391113,400,179000522,11933368.1333333,8508544.9752058,21000572,2661691,179609243,11973949.533333303,8669005.05903576,20391513,608716,0,1,0,0,320,320,0.0890816263906459,0.0890816263906459,6,16,7.51515151515152,3.641095406272101,13.2575757575758,0,0,0,1,1,0,0,0,1,7.75,6.0,8.5,0,0,0,0,0,0,16,96,16,136,-1,255,16,0,1192174.27272727,1650227.1571911,3275316,400,15135938.7272727,7242354.23023376,20391113,5998556,11
24997317,2,7,22,76,16,6,11.0,7.07106781186548,20,6,10.857142857142902,6.20291790016525,3.92042073955377,0.360038639346775,3124664.625,4506349.42745795,10023246,3271,10021982,10021982.0,0.0,10021982,10021982,24997317,4166219.5,4822472.03620379,10028307,3370,0,1,0,0,64,224,0.080008586521506,0.280030052825269,6,20,10.4,5.79655069847578,33.6,0,0,0,1,1,0,0,0,3,11.555555555555598,11.0,10.857142857142902,0,0,0,0,0,0,2,22,7,76,-1,260,2,0,2199811.5,3099080.02341993,4391192,8431,10018398.5,6855.400243603579,10023246,10013551,0
